participant_id	WJ-III_WordID_Raw	WJ-III_WordID_StS	WJ-III_WA_Raw	WJ-III_WA_StS	WJ-III_PassComp_Raw	WJ-III_PassComp_StS	WJ-III_MathFluency_Raw	WJ-III_MathFluency_StS	WJ-III_SpatialRelations_Raw	WJ-III_SpatialRelations_Letter	WJ-III_SpatialRelations_StS	WJ-III_BRS_StS
sub-002	n/a	n/a	n/a	n/a	n/a	n/a	56	84	n/a	n/a	n/a	n/a
sub-003	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
sub-004	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
sub-005	n/a	n/a	n/a	n/a	n/a	n/a	134	119	n/a	n/a	n/a	n/a
sub-006	n/a	n/a	n/a	n/a	n/a	n/a	79	105	n/a	n/a	n/a	n/a
sub-007	n/a	n/a	n/a	n/a	n/a	n/a	102	111	n/a	n/a	n/a	n/a
sub-008	n/a	n/a	n/a	n/a	n/a	n/a	122	108	n/a	n/a	n/a	n/a
sub-009	n/a	n/a	n/a	n/a	n/a	n/a	101	115	n/a	n/a	n/a	n/a
sub-010	n/a	n/a	n/a	n/a	n/a	n/a	96	103	n/a	n/a	n/a	n/a
sub-011	n/a	n/a	n/a	n/a	n/a	n/a	136	138	n/a	n/a	n/a	n/a
sub-012	n/a	n/a	n/a	n/a	n/a	n/a	89	89	n/a	n/a	n/a	n/a
sub-013	n/a	n/a	n/a	n/a	n/a	n/a	110	100	n/a	n/a	n/a	n/a
sub-015	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
sub-016	n/a	n/a	n/a	n/a	n/a	n/a	138	114	n/a	n/a	n/a	n/a
sub-017	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
sub-019	n/a	n/a	n/a	n/a	n/a	n/a	115	112	n/a	n/a	n/a	n/a
sub-020	n/a	n/a	n/a	n/a	n/a	n/a	111	111	n/a	n/a	n/a	n/a
sub-021	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
sub-023	n/a	n/a	n/a	n/a	n/a	n/a	85	94	n/a	n/a	n/a	n/a
sub-024	n/a	n/a	n/a	n/a	n/a	n/a	86	102	n/a	n/a	n/a	n/a
sub-025	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
sub-029	n/a	n/a	n/a	n/a	n/a	n/a	65	88	n/a	n/a	n/a	n/a
sub-030	n/a	n/a	n/a	n/a	n/a	n/a	116	112	n/a	n/a	n/a	n/a
sub-031	n/a	n/a	n/a	n/a	n/a	n/a	67	81	n/a	n/a	n/a	n/a
sub-034	n/a	n/a	n/a	n/a	n/a	n/a	104	114	n/a	n/a	n/a	n/a
sub-035	n/a	n/a	n/a	n/a	n/a	n/a	94	101	n/a	n/a	n/a	n/a
sub-036	n/a	n/a	n/a	n/a	n/a	n/a	72	87	n/a	n/a	n/a	n/a
sub-038	n/a	n/a	n/a	n/a	n/a	n/a	110	100	n/a	n/a	n/a	n/a
sub-039	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
sub-040	n/a	n/a	n/a	n/a	n/a	n/a	114	103	n/a	n/a	n/a	n/a
sub-041	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
sub-043	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
sub-044	n/a	n/a	n/a	n/a	n/a	n/a	152	129	n/a	n/a	n/a	n/a
sub-045	n/a	n/a	n/a	n/a	n/a	n/a	63	87	n/a	n/a	n/a	n/a
sub-047	n/a	n/a	n/a	n/a	n/a	n/a	62	82	n/a	n/a	n/a	n/a
sub-048	n/a	n/a	n/a	n/a	n/a	n/a	95	105	n/a	n/a	n/a	n/a
sub-049	n/a	n/a	n/a	n/a	n/a	n/a	84	95	n/a	n/a	n/a	n/a
sub-052	n/a	n/a	n/a	n/a	n/a	n/a	55	70	n/a	n/a	n/a	n/a
sub-054	n/a	n/a	n/a	n/a	n/a	n/a	117	103	n/a	n/a	n/a	n/a
sub-055	n/a	n/a	n/a	n/a	n/a	n/a	83	95	n/a	n/a	n/a	n/a
sub-056	n/a	n/a	n/a	n/a	n/a	n/a	87	103	n/a	n/a	n/a	n/a
sub-057	n/a	n/a	n/a	n/a	n/a	n/a	89	107	n/a	n/a	n/a	n/a
sub-059	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
sub-060	n/a	n/a	n/a	n/a	n/a	n/a	59	77	n/a	n/a	n/a	n/a
sub-061	n/a	n/a	n/a	n/a	n/a	n/a	90	97	n/a	n/a	n/a	n/a
sub-062	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
sub-063	n/a	n/a	n/a	n/a	n/a	n/a	57	n/a	n/a	n/a	n/a	n/a
sub-064	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
sub-066	n/a	n/a	n/a	n/a	n/a	n/a	52	80	n/a	n/a	n/a	n/a
sub-067	n/a	n/a	n/a	n/a	n/a	n/a	53	66	n/a	n/a	n/a	n/a
sub-070	n/a	n/a	n/a	n/a	n/a	n/a	77	82	n/a	n/a	n/a	n/a
sub-071	n/a	n/a	n/a	n/a	n/a	n/a	43	78	n/a	n/a	n/a	n/a
sub-073	n/a	n/a	n/a	n/a	n/a	n/a	57	82	n/a	n/a	n/a	n/a
sub-075	n/a	n/a	n/a	n/a	n/a	n/a	82	83	n/a	n/a	n/a	n/a
sub-078	n/a	n/a	n/a	n/a	n/a	n/a	60	75	n/a	n/a	n/a	n/a
sub-080	n/a	n/a	n/a	n/a	n/a	n/a	70	95	n/a	n/a	n/a	n/a
